K	N
1431	310
1432	316
1433	330
1434	278
1435	319
1436	294
1437	354
1438	288
1439	288
1440	287
1441	294
1442	296
1443	309
1444	293
1445	291
1446	285
1447	318
1448	307
1449	299
1450	290
1451	244
1452	264
1453	257
1454	258
1455	306
1456	267
1457	230
1458	253
1459	239
1460	243
1461	239
1462	264
1463	275
1464	256
1465	206
1466	259
1467	260
1468	234
1469	258
1470	206
1471	209
1472	243
1473	243
1474	235
1475	241
1476	220
1477	223
1478	234
1479	235
1480	214
1481	218
1482	190
1483	195
1484	177
1485	197
1486	183
1487	198
1488	228
1489	207
1490	193
1491	212
1492	224
1493	191
1494	180
1495	160
1496	195
1497	195
1498	183
1499	164
1500	207
1501	176
1502	188
1503	164
1504	182
1505	191
1506	176
1507	191
1508	155
1509	150
1510	169
1511	176
1512	165
1513	159
1514	163
1515	176
1516	163
1517	169
1518	181
1519	168
1520	149
1521	183
1522	162
1523	157
1524	165
1525	181
1526	165
1527	139
1528	146
1529	135
1530	155
1531	158
1532	154
1533	153
1534	138
1535	154
1536	160
1537	161
1538	164
1539	146
1540	152
1541	159
1542	145
1543	158
1544	164
1545	165
1546	162
1547	148
1548	144
1549	122
1550	130
1551	162
1552	160
1553	156
1554	163
1555	150
1556	140
1557	169
1558	148
1559	150
1560	165
1561	150
1562	146
1563	160
1564	125
1565	141
1566	157
1567	159
1568	130
1569	149
1570	135
1571	157
1572	150
1573	129
1574	153
1575	131
1576	145
1577	149
1578	130
1579	142
1580	146
1581	154
1582	126
1583	157
1584	128
1585	146
1586	142
1587	118
1588	148
1589	140
1590	154
1591	130
1592	138
1593	148
1594	121
1595	151
1596	143
1597	118
1598	129
1599	126
1600	145
1601	168
1602	140
1603	147
1604	126
1605	149
1606	146
1607	143
1608	143
1609	152
1610	135
1611	117
1612	132
1613	134
1614	150
1615	135
1616	154
1617	139
1618	167
1619	134
1620	138
1621	131
1622	148
1623	154
1624	164
1625	153
1626	139
1627	140
1628	145
1629	148
1630	147
1631	127
1632	149
1633	144
1634	122
1635	132
1636	131
1637	134
1638	163
1639	147
1640	122
1641	135
1642	145
1643	136
1644	109
1645	106
1646	150
1647	133
1648	142
1649	133
1650	150
1651	154
1652	124
1653	146
1654	135
1655	125
1656	124
1657	141
1658	149
1659	129
1660	141
1661	123
1662	151
1663	134
1664	126
1665	132
1666	130
1667	157
1668	139
1669	125
1670	140
1671	136
1672	156
1673	144
1674	159
1675	145
1676	146
1677	126
1678	142
1679	139
1680	131
1681	145
1682	144
1683	159
1684	125
1685	128
1686	140
1687	122
1688	147
1689	161
1690	138
1691	140
1692	128
1693	144
1694	138
1695	141
1696	131
1697	144
1698	143
1699	160
1700	145
1701	138
1702	159
1703	140
1704	158
1705	141
1706	140
1707	143
1708	151
1709	147
1710	164
1711	132
1712	126
1713	122
1714	135
1715	130
1716	137
1717	139
1718	130
1719	134
1720	130
1721	122
1722	116
1723	129
1724	144
1725	152
1726	145
1727	155
1728	129
1729	132
1730	131
1731	130
1732	138
1733	128
1734	153
1735	133
1736	134
1737	141
1738	139
1739	136
1740	144
1741	146
1742	117
1743	137
1744	166
1745	144
1746	129
1747	141
1748	142
1749	156
1750	120
1751	143
1752	135
1753	126
1754	137
1755	147
1756	134
1757	157
1758	154
1759	137
1760	148
1761	165
1762	154
1763	150
1764	134
1765	141
1766	134
1767	173
1768	130
1769	169
1770	138
1771	133
1772	153
1773	181
1774	155
1775	157
1776	124
1777	149
1778	172
1779	154
1780	141
1781	160
1782	153
1783	193
1784	175
1785	158
1786	146
1787	175
1788	178
1789	160
1790	172
1791	170
1792	179
1793	171
1794	173
1795	205
1796	174
1797	180
1798	184
1799	178
1800	214
1801	181
1802	195
1803	186
1804	199
1805	207
1806	182
1807	198
1808	219
1809	205
1810	188
1811	230
1812	204
1813	221
1814	214
1815	201
1816	227
1817	223
1818	232
1819	203
1820	200
1821	202
1822	243
1823	285
1824	230
1825	208
1826	248
1827	263
1828	282
1829	211
1830	263
1831	238
1832	243
1833	269
1834	281
1835	264
1836	285
1837	297
1838	291
1839	281
1840	276
1841	276
1842	281
1843	268
1844	315
1845	315
1846	316
1847	312
1848	305
1849	292
1850	309
1851	314
1852	354
1853	304
1854	332
1855	358
1856	323
1857	352
1858	315
1859	349
1860	340
1861	348
1862	359
1863	337
1864	365
1865	374
1866	360
1867	385
1868	399
1869	386
1870	366
1871	383
1872	378
1873	361
1874	401
1875	389
1876	418
1877	397
1878	421
1879	416
1880	413
1881	439
1882	387
1883	459
1884	386
1885	413
1886	442
1887	440
1888	460
1889	416
1890	456
1891	463
1892	444
1893	413
1894	437
1895	398
1896	475
1897	469
1898	477
1899	506
1900	477
1901	460
1902	494
1903	473
1904	496
1905	485
1906	464
1907	523
1908	486
1909	481
1910	458
1911	458
1912	530
1913	454
1914	495
